# step  time_fs  cv_FeH(A)  bias(kJ/mol)  d_min_FeH(A)  d_min_OH(A)  d_min_SH(A)
0 0.0 1.7182 345.9197 1.7182 2.5114 2.4126
10 5.0 2.2021 60.5114 2.2021 2.1198 2.3522
20 10.0 2.9038 62.5829 2.9038 1.7296 2.4857
30 15.0 2.6219 2.5828 2.6219 1.7433 1.9985
40 20.0 2.0321 134.1319 2.0321 2.1598 1.2259
50 25.0 2.4579 4.2402 2.4579 2.2137 1.6806
60 30.0 2.8437 43.1316 2.8437 1.7178 2.0944
70 35.0 2.3874 13.2129 2.3874 2.1134 1.4835
80 40.0 2.3641 17.2773 2.3641 2.1976 1.3622
90 45.0 2.8563 46.9083 2.8563 1.8167 1.9395
100 50.0 2.4120 9.5185 2.4120 2.3570 1.9047
110 55.0 2.1979 61.9762 2.1979 2.4838 1.3975
120 60.0 2.5513 0.0009 2.5513 2.0792 1.3656
130 65.0 2.6899 9.7910 2.6899 1.6607 1.5698
140 70.0 2.4321 6.9519 2.4321 1.8928 1.3352
150 75.0 2.3078 29.3232 2.3078 1.7814 1.3692
160 80.0 2.5029 1.1116 2.5029 1.4343 1.7120
170 85.0 2.5989 1.1979 2.5989 1.0955 1.9981
180 90.0 2.3948 12.0458 2.3948 1.0235 2.0134
190 95.0 2.4985 1.3250 2.4985 1.1901 1.9053
200 100.0 2.6997 11.2087 2.6997 0.9497 2.1614
210 105.0 2.4165 8.9136 2.4165 1.1163 2.0341
220 110.0 2.6362 3.7179 2.6362 0.9857 2.2267
230 115.0 2.7033 11.7508 2.7033 1.0824 2.1665
240 120.0 2.4379 6.2811 2.4379 1.0774 2.0796
250 125.0 2.4267 7.6056 2.4267 0.9486 2.1240
260 130.0 2.5563 0.0197 2.5563 1.1572 1.9155
270 135.0 2.7356 17.2159 2.7356 1.0200 2.0360
280 140.0 2.4102 9.7775 2.4102 1.0538 1.8802
290 145.0 2.4828 2.2598 2.4828 0.9848 1.9503
300 150.0 2.6147 2.0934 2.6147 1.0657 1.9162
310 155.0 2.5109 0.7643 2.5109 1.0932 1.8582
320 160.0 2.5348 0.1149 2.5348 0.9689 1.9851
330 165.0 2.5297 0.2062 2.5297 1.1241 1.9011
340 170.0 2.7161 13.7999 2.7161 0.9520 2.1274
350 175.0 2.5247 0.3212 2.5247 1.1112 1.9629
360 180.0 2.5282 0.2382 2.5282 0.9272 2.0954
370 185.0 2.4508 4.9230 2.4508 1.0862 1.9984
380 190.0 2.5945 0.9902 2.5945 0.9394 2.1409
390 195.0 2.4860 2.0460 2.4860 1.0816 2.0492
400 200.0 2.5874 0.6978 2.5874 0.9195 2.1729
410 205.0 2.4959 1.4641 2.4959 1.0647 2.1047
420 210.0 2.6686 7.0322 2.6686 0.9480 2.2376
430 215.0 2.5736 0.2774 2.5736 1.0540 2.1891
440 220.0 2.6180 2.3095 2.6180 0.9507 2.2470
450 225.0 2.5970 1.1053 2.5970 1.0279 2.2496
460 230.0 2.6664 6.7778 2.6664 1.0028 2.2741
470 235.0 2.5457 0.0092 2.5457 1.0103 2.1525
480 240.0 2.4776 2.6193 2.4776 0.9835 2.0941
490 245.0 2.5739 0.2867 2.5739 0.9611 2.1686
500 250.0 2.6147 2.0915 2.6147 1.0486 2.2313
510 255.0 2.5853 0.6239 2.5853 0.9535 2.1874
520 260.0 2.4865 2.0149 2.4865 1.0214 2.0729
530 265.0 2.6031 1.4116 2.6031 0.9587 2.0746
540 270.0 2.5300 0.2003 2.5300 1.0529 2.0303
550 275.0 2.5932 0.9333 2.5932 0.9413 2.1682
560 280.0 2.5075 0.9026 2.5075 1.0421 2.1188
570 285.0 2.5658 0.1253 2.5658 0.9581 2.1216
580 290.0 2.5152 0.6041 2.5152 1.0468 2.0372
590 295.0 2.5881 0.7257 2.5881 0.9597 2.1156
600 300.0 2.5392 0.0588 2.5392 1.0580 1.9990
610 305.0 2.6382 3.8889 2.6382 0.9446 2.0847
620 310.0 2.5460 0.0079 2.5460 1.0705 2.0419
630 315.0 2.5795 0.4358 2.5795 0.9310 2.1847
640 320.0 2.4093 9.9005 2.4093 1.0213 2.0938
650 325.0 2.5038 1.0658 2.5038 0.9554 2.1132
660 330.0 2.5245 0.3257 2.5245 1.0200 2.0389
670 335.0 2.5244 0.3281 2.5244 0.9985 1.9796
680 340.0 2.5471 0.0043 2.5471 0.9702 1.9357
690 345.0 2.6625 6.3309 2.6625 1.0498 1.8898
700 350.0 2.6045 1.4847 2.6045 0.9903 1.8788
710 355.0 2.4831 2.2345 2.4831 1.0123 1.8188
720 360.0 2.5732 0.2696 2.5732 0.9587 1.8976
730 365.0 2.5793 0.4301 2.5793 1.0684 1.8490
740 370.0 2.5834 0.5575 2.5834 0.9691 1.9801
750 375.0 2.5895 0.7800 2.5895 1.0292 1.9827
760 380.0 2.6172 2.2565 2.6172 0.9685 2.0540
