# step  time_fs  cv_FeH(A)  bias(kJ/mol)  d_min_FeH(A)  d_min_OH(A)  d_min_SH(A)
0 0.0 1.7182 1250.9963 1.7182 2.5114 2.4126
10 5.0 2.6666 200.6069 2.6666 1.7237 2.4435
20 10.0 2.8224 114.0656 2.8224 1.4767 2.5100
30 15.0 3.2384 1.8979 3.2384 1.3478 2.4128
40 20.0 3.1854 6.5681 3.1854 1.4508 2.0002
50 25.0 2.7264 164.5159 2.7264 1.5679 1.8126
60 30.0 3.1405 12.7274 3.1405 1.7160 1.6396
70 35.0 3.2462 1.4448 3.2462 1.6482 1.8392
80 40.0 3.1835 6.7912 3.1835 1.5130 2.1416
90 45.0 3.4016 5.1642 3.4016 1.2249 2.3985
100 50.0 3.2084 4.1950 3.2084 0.9119 2.1884
110 55.0 3.3574 1.6453 3.3574 1.2381 2.2002
120 60.0 3.4059 5.6048 3.4059 0.9287 2.2848
130 65.0 3.2164 3.4925 3.2164 1.1893 1.9676
140 70.0 3.2143 3.6723 3.2143 1.1733 1.9280
150 75.0 3.2856 0.1043 3.2856 0.9267 2.0619
160 80.0 3.2506 1.2204 3.2506 1.1450 1.9375
170 85.0 3.3632 1.9957 3.3632 0.8924 2.1463
180 90.0 3.3248 0.3073 3.3248 1.1268 2.0893
190 95.0 3.3864 3.7307 3.3864 0.9001 2.2173
200 100.0 3.3000 0.0000 3.3000 1.0885 2.1225
210 105.0 3.3523 1.3655 3.3523 0.9557 2.2285
220 110.0 3.2889 0.0618 3.2889 1.0489 2.1837
230 115.0 3.3794 3.1551 3.3794 0.9967 2.3109
240 120.0 3.3381 0.7267 3.3381 1.0250 2.2991
250 125.0 3.2217 3.0686 3.2217 1.0231 2.3017
260 130.0 3.3152 0.1154 3.3152 0.9746 2.4513
270 135.0 3.3106 0.0560 3.3106 1.0536 2.4056
280 140.0 3.1578 10.1116 3.1578 0.9772 2.3291
290 145.0 3.3027 0.0038 3.3027 1.0434 2.4823
300 150.0 3.3619 1.9141 3.3619 0.9221 2.4890
310 155.0 3.3685 2.3463 3.3685 1.0459 2.4854
