# d_FeH(A)  PMF(kJ/mol)
1.450000 1.120360
1.458696 1.056552
1.467391 0.973742
1.476087 0.878905
1.484783 0.776945
1.493478 0.668686
1.502174 0.552046
1.510870 0.426810
1.519565 0.299228
1.528261 0.181512
1.536957 0.086530
1.545652 0.023580
1.554348 0.000000
1.563043 0.025908
1.571739 0.112964
1.580435 0.263573
1.589130 0.461644
1.597826 0.677734
1.606522 0.885125
1.615217 1.071442
1.623913 1.236608
1.632609 1.382261
1.641304 1.504389
1.650000 1.596787
1.658696 1.663293
1.667391 1.727863
1.676087 1.831911
1.684783 2.019792
1.693478 2.322267
1.702174 2.746532
1.710870 3.275714
1.719565 3.876061
1.728261 4.508034
1.736957 5.137025
1.745652 5.739350
1.754348 6.302474
1.763043 6.823426
1.771739 7.308664
1.780435 7.773431
1.789130 8.237780
1.797826 8.720217
1.806522 9.231500
1.815217 9.770944
1.823913 10.327941
1.832609 10.888128
1.841304 11.438350
1.850000 11.967851
1.858696 12.469023
1.867391 12.938098
1.876087 13.373975
1.884783 13.777362
1.893478 14.152673
1.902174 14.509779
1.910870 14.861018
1.919565 15.214020
1.928261 15.566178
1.936957 15.906321
1.945652 16.224061
1.954348 16.520286
1.963043 16.809738
1.971739 17.113976
1.980435 17.452135
1.989130 17.835704
1.997826 18.266988
2.006522 18.739757
2.015217 19.242297
2.023913 19.761084
2.032609 20.281429
2.041304 20.785152
2.050000 21.250697
2.058696 21.660290
2.067391 22.009993
2.076087 22.312029
2.084783 22.586233
2.093478 22.849025
2.102174 23.107591
2.110870 23.359273
2.119565 23.594428
2.128261 23.803719
2.136957 23.988899
2.145652 24.168561
2.154348 24.370004
2.163043 24.612728
2.171739 24.899014
2.180435 25.217631
2.189130 25.553609
2.197826 25.894886
2.206522 26.232448
2.215217 26.557088
2.223913 26.858230
2.232609 27.127237
2.241304 27.362383
2.250000 27.570212
2.258696 27.761571
2.267391 27.946237
2.276087 28.130680
2.284783 28.319116
2.293478 28.514706
2.302174 28.719271
2.310870 28.933229
2.319565 29.156606
2.328261 29.388898
2.336957 29.627571
2.345652 29.868113
2.354348 30.105811
2.363043 30.335972
2.371739 30.551453
2.380435 30.740613
2.389130 30.888728
2.397826 30.981943
2.406522 31.010787
2.415217 30.972414
2.423913 30.871972
2.432609 30.721308
2.441304 30.533966
2.450000 30.321304
2.458696 30.096010
2.467391 29.879495
2.476087 29.700067
2.484783 29.577891
2.493478 29.512548
2.502174 29.487818
2.510870 29.485540
2.519565 29.492219
2.528261 29.497538
2.536957 29.492939
2.545652 29.471973
2.554348 29.429955
2.563043 29.363471
2.571739 29.272093
2.580435 29.161351
2.589130 29.043154
2.597826 28.931840
2.606522 28.838434
2.615217 28.767280
2.623913 28.717214
2.632609 28.685003
2.641304 28.665869
2.650000 28.651242
2.658696 28.630322
2.667391 28.595332
2.676087 28.542777
2.684783 28.470324
2.693478 28.376333
2.702174 28.263062
2.710870 28.136704
2.719565 28.000818
2.728261 27.849191
2.736957 27.667182
2.745652 27.443533
2.754348 27.183922
2.763043 26.914368
2.771739 26.671931
2.780435 26.490175
2.789130 26.387316
2.797826 26.361287
2.806522 26.392423
2.815217 26.451144
2.823913 26.507691
2.832609 26.541640
2.841304 26.546632
2.850000 26.526592
2.858696 26.487448
2.867391 26.433067
2.876087 26.368688
2.884783 26.306466
2.893478 26.265557
2.902174 26.265081
2.910870 26.315544
2.919565 26.416376
2.928261 26.561537
2.936957 26.745372
2.945652 26.960665
2.954348 27.193219
2.963043 27.422132
2.971739 27.626288
2.980435 27.790487
2.989130 27.907261
2.997826 27.975833
3.006522 27.999828
3.015217 27.983946
3.023913 27.931997
3.032609 27.849262
3.041304 27.746726
3.050000 27.640781
3.058696 27.547514
3.067391 27.478757
3.076087 27.444162
3.084783 27.452953
3.093478 27.509557
3.102174 27.608538
3.110870 27.735555
3.119565 27.873042
3.128261 28.006120
3.136957 28.127340
3.145652 28.241543
3.154348 28.370059
3.163043 28.548882
3.171739 28.816412
3.180435 29.195935
3.189130 29.686208
3.197826 30.268382
3.206522 30.922000
3.215217 31.635774
3.223913 32.407912
3.232609 33.241262
3.241304 34.138877
3.250000 35.101149
3.258696 36.123487
3.267391 37.193720
3.276087 38.288426
3.284783 39.367541
3.293478 40.371848
3.302174 41.236560
3.310870 41.923733
3.319565 42.443240
3.328261 42.837010
3.336957 43.148702
3.345652 43.409121
3.354348 43.639795
3.363043 43.862549
3.371739 44.105661
3.380435 44.404770
3.389130 44.800985
3.397826 45.337679
3.406522 46.054730
3.415217 46.979460
3.423913 48.118009
3.432609 49.453632
3.441304 50.953307
3.450000 52.576505
3.458696 54.279997
3.467391 56.019157
3.476087 57.752523
3.484783 59.454854
3.493478 61.130608
3.502174 62.812076
3.510870 64.543930
3.519565 66.371194
3.528261 68.336988
3.536957 70.482695
3.545652 72.842840
3.554348 75.435730
3.563043 78.258385
3.571739 81.290122
3.580435 84.499229
3.589130 87.846449
3.597826 91.286492
3.606522 94.772920
3.615217 98.268186
3.623913 101.753032
3.632609 105.227022
3.641304 108.699779
3.650000 112.180437
3.658696 115.671598
3.667391 119.168540
3.676087 122.661365
3.684783 126.137526
3.693478 129.583612
3.702174 132.988100
3.710870 136.348169
3.719565 139.679704
3.728261 143.022894
3.736957 146.436765
3.745652 149.986037
3.754348 153.729410
3.763043 157.714087
3.771739 161.975531
3.780435 166.539582
3.789130 171.424992
3.797826 176.645557
3.806522 182.211666
3.815217 188.131371
3.823913 194.411084
3.832609 201.056035
3.841304 208.070568
3.850000 215.458338
3.858696 223.222446
3.867391 231.365537
3.876087 nan
3.884783 nan
3.893478 nan
3.902174 nan
3.910870 nan
3.919565 nan
3.928261 nan
3.936957 nan
3.945652 nan
3.954348 nan
3.963043 nan
3.971739 nan
3.980435 nan
3.989130 nan
3.997826 nan
4.006522 nan
4.015217 nan
4.023913 nan
4.032609 nan
4.041304 nan
4.050000 nan
