# d_FeH(A)  PMF(kJ/mol)
1.450000 5.822070
1.458696 5.093282
1.467391 4.436287
1.476087 3.839737
1.484783 3.292718
1.493478 2.788416
1.502174 2.324789
1.510870 1.903795
1.519565 1.530702
1.528261 1.212825
1.536957 0.956330
1.545652 0.761252
1.554348 0.616891
1.563043 0.501576
1.571739 0.391023
1.580435 0.273221
1.589130 0.156784
1.597826 0.062541
1.606522 0.008016
1.615217 0.000000
1.623913 0.036981
1.632609 0.115626
1.641304 0.237501
1.650000 0.413619
1.658696 0.663888
1.667391 1.010228
1.676087 1.466691
1.684783 2.033066
1.693478 2.695924
1.702174 3.435022
1.710870 4.230728
1.719565 5.070604
1.728261 5.954808
1.736957 6.898195
1.745652 7.925332
1.754348 9.057549
1.763043 10.298920
1.771739 11.631695
1.780435 13.023963
1.789130 14.442338
1.797826 15.861646
1.806522 17.269051
1.815217 18.663848
1.823913 20.054289
1.832609 21.451746
1.841304 22.863321
1.850000 24.286577
1.858696 25.711159
1.867391 27.127445
1.876087 28.534151
1.884783 29.936427
1.893478 31.337553
1.902174 32.734136
1.910870 34.118619
1.919565 35.484736
1.928261 36.830012
1.936957 38.154793
1.945652 39.462135
1.954348 40.760008
1.963043 42.061974
1.971739 43.383741
1.980435 44.738910
1.989130 46.138949
1.997826 47.598050
2.006522 49.137076
2.015217 50.778404
2.023913 52.531025
2.032609 54.377876
2.041304 56.278881
2.050000 58.189214
2.058696 60.077839
2.067391 61.931407
2.076087 63.743575
2.084783 65.502806
2.093478 67.187740
2.102174 68.767126
2.110870 70.201075
2.119565 71.451873
2.128261 72.507534
2.136957 73.393297
2.145652 74.150977
2.154348 74.809295
2.163043 75.375279
2.171739 75.846778
2.180435 76.227820
2.189130 76.532367
2.197826 76.776884
2.206522 76.971032
2.215217 77.113136
2.223913 77.192484
2.232609 77.198015
2.241304 77.128119
2.250000 76.993195
2.258696 76.808945
2.267391 76.587268
2.276087 76.331775
2.284783 76.040460
2.293478 75.714807
2.302174 75.369629
2.310870 75.034119
2.319565 74.740882
2.328261 74.511176
2.336957 74.347130
2.345652 74.234637
2.354348 74.151775
2.363043 74.075284
2.371739 73.984191
2.380435 73.863412
2.389130 73.706280
2.397826 73.513754
2.406522 73.290952
2.415217 73.042477
2.423913 72.767834
2.432609 72.459248
2.441304 72.104500
2.450000 71.694502
2.458696 71.230727
2.467391 70.727153
2.476087 70.207468
2.484783 69.702457
2.493478 69.247780
2.502174 68.876808
2.510870 68.607852
2.519565 68.434886
2.528261 68.330460
2.536957 68.258308
2.545652 68.186569
2.554348 68.095760
2.563043 67.980052
2.571739 67.842957
2.580435 67.691349
2.589130 67.532230
2.597826 67.372939
2.606522 67.222127
2.615217 67.090045
2.623913 66.989070
2.632609 66.933256
2.641304 66.933299
2.650000 66.988792
2.658696 67.085596
2.667391 67.201018
2.676087 67.311676
2.684783 67.398877
2.693478 67.450589
2.702174 67.461157
2.710870 67.429700
2.719565 67.358296
2.728261 67.251578
2.736957 67.118347
2.745652 66.973760
2.754348 66.839608
2.763043 66.741289
2.771739 66.701901
2.780435 66.735056
2.789130 66.838840
2.797826 66.994231
2.806522 67.170318
2.815217 67.335407
2.823913 67.468732
2.832609 67.565331
2.841304 67.631638
2.850000 67.677192
2.858696 67.708847
2.867391 67.729426
2.876087 67.740004
2.884783 67.744202
2.893478 67.750830
2.902174 67.770214
2.910870 67.804800
2.919565 67.843646
2.928261 67.871097
2.936957 67.882920
2.945652 67.888825
2.954348 67.898800
2.963043 67.912290
2.971739 67.919131
2.980435 67.906129
2.989130 67.862870
2.997826 67.784690
3.006522 67.672647
3.015217 67.531202
3.023913 67.365286
3.032609 67.178679
3.041304 66.974918
3.050000 66.760395
3.058696 66.547723
3.067391 66.356994
3.076087 66.212819
3.084783 66.135597
3.093478 66.130333
3.102174 66.182719
3.110870 66.267695
3.119565 66.362059
3.128261 66.449800
3.136957 66.520053
3.145652 66.565245
3.154348 66.582160
3.163043 66.571870
3.171739 66.536140
3.180435 66.474014
3.189130 66.383272
3.197826 66.266441
3.206522 66.136572
3.215217 66.018041
3.223913 65.940717
3.232609 65.929826
3.241304 65.997386
3.250000 66.139945
3.258696 66.341961
3.267391 66.581056
3.276087 66.832557
3.284783 67.073284
3.293478 67.286044
3.302174 67.464685
3.310870 67.616553
3.319565 67.760227
3.328261 67.921082
3.336957 68.126371
3.345652 68.396465
3.354348 68.733063
3.363043 69.115496
3.371739 69.512401
3.380435 69.899362
3.389130 70.267962
3.397826 70.623511
3.406522 70.978413
3.415217 71.346211
3.423913 71.737322
3.432609 72.157390
3.441304 72.609291
3.450000 73.096923
3.458696 73.626048
3.467391 74.200221
3.476087 74.816438
3.484783 75.465258
3.493478 76.134904
3.502174 76.818021
3.510870 77.520843
3.519565 78.270177
3.528261 79.110360
3.536957 80.089144
3.545652 81.242026
3.554348 82.586745
3.563043 84.130709
3.571739 85.882071
3.580435 87.851748
3.589130 90.043320
3.597826 92.442682
3.606522 95.021621
3.615217 97.752684
3.623913 100.619618
3.632609 103.615647
3.641304 106.735998
3.650000 109.973677
3.658696 113.320976
3.667391 116.773426
3.676087 120.332318
3.684783 124.004810
3.693478 127.802952
3.702174 131.742684
3.710870 135.842557
3.719565 140.121724
3.728261 144.597715
3.736957 149.285100
3.745652 154.195726
3.754348 159.340325
3.763043 164.730532
3.771739 170.380234
3.780435 176.305645
3.789130 182.524281
3.797826 189.053489
3.806522 195.909192
3.815217 203.105151
3.823913 210.652754
3.832609 218.561153
3.841304 226.837576
3.850000 nan
3.858696 nan
3.867391 nan
3.876087 nan
3.884783 nan
3.893478 nan
3.902174 nan
3.910870 nan
3.919565 nan
3.928261 nan
3.936957 nan
3.945652 nan
3.954348 nan
3.963043 nan
3.971739 nan
3.980435 nan
3.989130 nan
3.997826 nan
4.006522 nan
4.015217 nan
4.023913 nan
4.032609 nan
4.041304 nan
4.050000 nan
